harness=ranked  board /tmp/yukon-board/full.json  167 receipts since 2026-08-21T00:00

createdAt            receipt   solver         published  candidate     serial       F76
2026-08-21T12:58:42  27057395  jonathan308     3.332701   0.015294   0.037899  -13.2992
2026-08-21T13:04:06  6ce628f0  audreyt         3.313605   0.015439   0.038020  -12.3272
2026-08-21T13:12:51  fe01af82  hadakang        3.345276   0.015275   0.038006  -13.2898
2026-08-21T13:40:55  4b9345f2  EternaPeptix    3.308914   0.015388   0.037950  -13.1154
2026-08-21T13:45:01  cc19da3d  Amal-David      3.338586   0.015276   0.037987  -13.3023
2026-08-21T13:47:16  87b654b2  morganmcg1      3.126005   0.015769   0.037976  -15.1819
2026-08-21T14:10:40  9612d3ba  newjordan       3.338728   0.015266   0.037944  -13.3656
2026-08-21T14:13:45  1ae7de74  francip         3.343601   0.015285   0.038010  -13.3240
2026-08-21T14:24:35  797b88dd  ivanfioravanti  3.316095   0.015412   0.038024  -12.2893
2026-08-21T14:28:02  73cb7dfe  jonathan308     3.329726   0.015283   0.037959  -13.2963
2026-08-21T14:36:32  29aedfe4  Lieisyourlie    3.345962   0.015285   0.038053  -13.3351
2026-08-21T14:48:37  43ff2db2  audreyt         3.302250   0.015438   0.037965  -12.2995
2026-08-21T14:57:10  9fa5db70  hadakang        3.222326   0.015540   0.037916  -14.0103
2026-08-21T15:51:31  d4973a86  newjordan       3.338101   0.015282   0.038000  -13.2704
2026-08-21T15:58:25  b8b8b860  morganmcg1      3.334121   0.015255   0.037913  -13.3723
2026-08-21T16:01:11  1b71fce8  ofou            3.306267   0.015418   0.038005  -12.1403
2026-08-21T16:07:08  af297187  francip         3.345984   0.015277   0.038050  -13.3064
2026-08-21T16:21:12  097991a0  ivanfioravanti  3.292816   0.015445   0.037928  -12.3891
2026-08-21T16:36:27  a543934d  jonathan308     3.335061   0.015290   0.037956  -13.3018
2026-08-21T16:43:47  156b6a7a  audreyt         3.340186   0.015285   0.038037  -13.3257
2026-08-21T16:44:08  c8c04d43  Lieisyourlie    3.296089   0.015435   0.037952  -12.2849
2026-08-21T16:48:54  bde54713  lBroth          3.335681   0.015296   0.037922  -13.3921
2026-08-21T17:20:27  e72058d7  scarletbright   3.339960   0.015284   0.037988  -13.3038
2026-08-21T17:25:17  029da3b0  newjordan       3.299953   0.015445   0.037980  -12.1725
2026-08-21T17:50:41  5edf8353  ofou            3.266950   0.015481   0.037957  -11.9855
2026-08-21T18:24:35  662ee95b  fkiene          3.348350   0.015269   0.038011  -13.3025
2026-08-21T18:25:52  81e44940  jonathan308     3.342202   0.015420   0.038103  -12.3732
2026-08-21T18:35:20  44559d02  morganmcg1      3.343513   0.015267   0.037939  -13.4917
2026-08-21T18:43:51  915b7145  audreyt         3.343901   0.015294   0.038049  -13.3651
2026-08-21T18:51:53  8361d39e  igneous-prose   3.296796   0.015421   0.037976  -12.3045
2026-08-21T18:59:35  1422606f  Lieisyourlie    3.347922   0.015265   0.038001  -13.3922
2026-08-21T19:11:43  b1c2e675  lBroth          3.347006   0.015285   0.038028  -13.3100
2026-08-21T19:37:43  f92aafbc  newjordan       3.338984   0.015284   0.037927  -13.3400
2026-08-21T19:42:58  14af1671  ofou            3.295486   0.015445   0.038010  -12.0168
2026-08-21T19:58:33  0253ef2a  fkiene          3.308303   0.015379   0.038027  -13.4801
2026-08-21T20:30:16  06667e16  kaarelkaarelso  3.013403   0.015054   0.037911   13.3870
2026-08-21T20:36:50  4b9199d7  nijaru          3.311223   0.015420   0.037975  -12.1990
2026-08-21T20:36:52  4ab37276  audreyt         3.346493   0.015285   0.038059  -13.2847
2026-08-21T20:48:09  ec9103d3  jonathan308     3.332387   0.015288   0.037949  -13.2779
2026-08-21T21:06:05  d35a3ed8  andreolf        3.322370   0.015421   0.038050  -12.2889
2026-08-21T21:10:30  1d0e60bb  Lieisyourlie    3.344591   0.015283   0.037999  -13.3482
2026-08-21T21:14:30  d458e53c  lBroth          3.338532   0.015284   0.037958  -13.3308
2026-08-21T21:30:31  95941689  newjordan       3.300101   0.015430   0.038029  -12.2253
2026-08-21T21:38:28  89529f1b  nagaral         3.347419   0.015282   0.038030  -13.3178
2026-08-21T22:12:57  57d05671  kaarelkaarelso  3.299784   0.015350   0.037942  -13.2026
2026-08-21T22:33:17  880e3360  audreyt         3.302474   0.015417   0.037968  -12.3347
2026-08-21T22:55:44  833dd905  jonathan308     3.345136   0.015282   0.038072  -13.3175
2026-08-21T23:10:55  448508db  Lieisyourlie    3.187395   0.015610   0.037993  -14.4449
2026-08-21T23:14:14  f20dc69a  nijaru          3.298843   0.015425   0.037995  -12.6419
2026-08-21T23:28:21  7358c89f  newjordan       3.352069   0.015258   0.038068  -13.3421
